,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
17,D,2,E,11,1,2,1,3,2,2,42.15265977653993,18.414216585225194,0.43684589970936144,474.7561437448813,330.0485750837715,0.6951960062703875,109.46666666666667,87.16272728285601,151.35518787796997
18,D,5,E,13,2,2,1,3,2,3,61.800160247751656,44.82700327448279,0.7253541591927124,642.7938812634728,254.76370624815794,0.3963381010214278,70.76666666666667,63.780446403343646,123.24954957724263
19,F,4,I,24,4,4,4,4,4,4,137.7126471540391,42.611217336567115,0.30942123484783607,1302.443433915398,463.35142475018625,0.35575550744439005,59.53333333333333,75.53886607964728,177.1550175408949
20,F,3,I,15,1,4,3,4,2,1,171.2325832330867,55.588948929557944,0.3246400181552402,2206.19051789428,732.74630581464,0.3321319259925098,77.36666666666666,95.95442536187775,213.2521839954349
21,C,4,I,12,1,2,1,3,2,3,63.90922975440633,44.49428335014038,0.6962106024611044,757.9548114688916,455.94687354842466,0.6015488874129772,81.0,83.65783048854455,190.19377947072522
22,E,3,E,13,3,2,1,3,2,2,178.863401268311,65.75078285171091,0.36760333520147526,1464.518761381663,530.6075165627374,0.36230844599228573,113.76666666666667,105.60194361777694,197.85741762993825
23,E,4,E,14,2,3,1,3,2,3,115.15414006277778,39.653741935185174,0.3443535934840677,950.5756482887124,647.5523913944363,0.681221313169764,112.5,80.77940649496021,143.24764548467016
24,I,4,N,18,2,3,2,4,3,4,833.8937610862295,43.31467167545248,0.05194267387134641,714.799122362929,332.5171349690352,0.4651896240020905,132.56666666666666,106.28805240159923,215.3390148088604
25,H,2,N,19,3,3,2,4,3,4,87.70916591073475,49.620331548586485,0.5657371271673834,633.3066555147249,325.58615640545514,0.51410506043211,123.33333333333333,106.08390954569307,235.39996619140587
26,E,5,E,17,3,3,2,3,3,3,191.294314179901,49.14841188674036,0.256925628435141,1345.993344461171,389.42723991105146,0.2893233027589354,110.83333333333333,84.20553803072646,152.32870779116726
27,C,1,I,11,1,2,1,3,2,2,133.38635204745142,30.97533840811704,0.23222269694501985,1386.2885767473174,310.69689681252316,0.22412137128152557,143.73333333333332,128.34406091415627,274.03674510432654
